inspection_id,inspection_date,inspector,facility_type,past_fail,past_critical,past_serious,years_since_last,age_at_inspection,tobacco_license,alcohol_license,daily_high_temp,burglary_intensity,sanitation_complaints,garbage_requests,critical_found
671205,2012-03-12,blue,Restaurant,0,0,0,2,2.136986301369863,FALSE,FALSE,57.04,23.45447121466982,25.930983104125588,41.76883019692175,0
673250,2012-01-09,orange,Restaurant,0,0,0,2,0.6657534246575343,FALSE,FALSE,46.71666666666666,3.932808896208088,0.0029491893251128126,8.152544693559891,0
673251,2012-01-10,orange,Restaurant,0,0,0,2,6.405479452054794,FALSE,FALSE,44.01333333333333,8.377641813540814,0.09883128377087068,14.541883039846152,0
673252,2012-01-10,orange,Restaurant,0,0,0,2,1.7232876712328766,FALSE,FALSE,44.01333333333333,4.2143277015042,0.003656530228013149,7.839140721367209,0
673253,2012-01-10,orange,Restaurant,0,0,0,2,0.8191780821917808,FALSE,FALSE,44.01333333333333,3.8676354643407214,0.002823165401040698,7.9356625530690446,0
673255,2012-01-12,orange,Restaurant,0,0,0,2,2.7260273972602738,FALSE,FALSE,47.333333333333336,24.26052745245361,5.663437437588802,18.518000633771724,0
673256,2012-01-12,orange,Restaurant,0,0,0,2,5.410958904109589,FALSE,TRUE,47.333333333333336,18.27096528387064,4.603006487890346,10.220926474944774,0
673268,2012-01-18,orange,Restaurant,0,0,0,2,4.657534246575342,FALSE,FALSE,39.71333333333334,27.273553264886246,9.614194116777655,9.129139240911258,2
673269,2012-01-18,orange,Restaurant,0,0,0,2,0.5534246575342465,FALSE,FALSE,39.71333333333334,30.93431360327875,9.927065531012397,9.917554804039254,0
673294,2012-01-31,orange,Restaurant,0,0,0,2,5.463013698630137,FALSE,FALSE,42.03333333333333,12.961974821322197,1.323396950788938,10.323633364696796,1
673295,2012-01-31,orange,Restaurant,0,0,0,2,5.463013698630137,FALSE,TRUE,42.03333333333333,13.460493492430642,1.331920231109951,13.740605408701644,1
673298,2012-02-02,orange,Restaurant,0,0,0,2,5.468493150684932,FALSE,FALSE,52.133333333333326,3.756782626015201,18.524722009286847,3.4183755224846104,0
